Date,Health Zone,Province,Confirmed Cases,Confirmed Deaths
6/15/2026,Katwa,Nord-Kivu,25,16
6/15/2026,Kilo,Ituri,4,1
6/15/2026,Komanda,Ituri,7,1
6/15/2026,Kyondo,Nord-Kivu,2,1
6/15/2026,Lita,Ituri,9,0
6/15/2026,Logo,Ituri,2,0
6/15/2026,Mabalako,Nord-Kivu,1,0
6/15/2026,Mambasa,Ituri,2,1
6/15/2026,Mangala,Ituri,5,3
6/15/2026,Masereka,Nord-Kivu,1,0
6/15/2026,Miti-Murhesa,Sud-Kivu,3,1
6/15/2026,Mongbwalu,Ituri,185,83
6/15/2026,Nia-Nia,Ituri,1,1
6/15/2026,Nizi,Ituri,16,1
6/15/2026,Nyankunde,Ituri,45,4
6/15/2026,Oicha,Nord-Kivu,2,2
6/15/2026,Rimba,Ituri,3,0
6/15/2026,Rwampara,Ituri,192,27
6/15/2026,Tchomia,Ituri,2,0
6/15/2026,Vuhovi,Nord-Kivu,1,1
6/16/2026,Aru,Ituri,3,
6/16/2026,Aungba,Ituri,2,
6/16/2026,Bambu,Ituri,7,
6/16/2026,Beni,Nord-Kivu,14,
6/16/2026,Bunia,Ituri,226,
6/16/2026,Butembo,Nord-Kivu,24,
6/16/2026,Damas,Ituri,4,
6/16/2026,Fataki,Ituri,1,
6/16/2026,Gety,Ituri,1,
6/16/2026,Goma,Nord-Kivu,1,
6/16/2026,Kalunguta,Nord-Kivu,2,
6/16/2026,Kambala,Ituri,1,
6/16/2026,Katwa,Nord-Kivu,23,
6/16/2026,Kilo,Ituri,4,
6/16/2026,Komanda,Ituri,7,
6/16/2026,Kyondo,Nord-Kivu,2,
6/16/2026,Lita,Ituri,9,
6/16/2026,Logo,Ituri,2,
6/16/2026,Mabalako,Nord-Kivu,1,
6/16/2026,Mambasa,Ituri,2,
6/16/2026,Mangala,Ituri,5,
6/16/2026,Masereka,Nord-Kivu,1,
6/16/2026,Miti-Murhesa,Sud-Kivu,3,
6/16/2026,Mongbwalu,Ituri,189,
6/16/2026,Musienene,Nord-Kivu,1,
6/16/2026,Nia-Nia,Ituri,1,
6/16/2026,Nizi,Ituri,16,
6/16/2026,Nyankunde,Ituri,45,
6/16/2026,Oicha,Nord-Kivu,3,
6/16/2026,Rimba,Ituri,3,
6/16/2026,Rwampara,Ituri,172,
6/16/2026,Tchomia,Ituri,5,
6/16/2026,Vuhovi,Nord-Kivu,1,
6/17/2026,Aru,Ituri,3,1
6/17/2026,Aungba,Ituri,4,1
6/17/2026,Bambu,Ituri,9,2
6/17/2026,Beni,Nord-Kivu,15,12
